row_id,BDC,Ticker,borrower_clean_name,portfolio_company,industry,investment_scope,q4_fv_to_cost,q1_fv_to_cost,qoq_fv_to_cost_change,qoq_markdown_event,legal_name_or_dba,parent_or_sponsor_hint,search_terms_used,search_completed,signal_found,signal_strength,signal_type,signal_date,signal_timing,pre_q1_observable,source_title,source_url,source_reliability,signal_summary,why_this_counts_as_signal,caveat,coding_confidence,review_status,notes,deep_dive_round,mapping_status,deep_dive_priority,deep_dive_conclusion
1,Ares Capital Corporation,ARCC,bamboo purchaser,"Bamboo Purchaser, Inc.","Provider of nursery, garden, and greenhouse products",first lien borrower aggregate,0.9459459459459459,0.475609756097561,-0.47033618984838493,1,"Bamboo Purchaser, Inc.; underlying operating name not verified in public search",unknown,"""Bamboo Purchaser""; ""Bamboo Purchaser Inc""; ""Bamboo Purchaser"" nursery greenhouse; Bamboo Health false-positive check; bankruptcy/restructuring/default/rating downgrade terms",completed,no,0,no clear signal,,none,no,No reliable borrower-specific public signal identified in second-pass search,,n/a,Second-pass search did not verify the operating company behind Bamboo Purchaser or identify a dated public negative signal that can be tied to the ARCC borrower.,No signal coded; borrower-level mapping remains unresolved and public negative information was not source-traceable.,Important opacity case: large QoQ markdown but no clean public borrower-level signal. Bamboo Health search hits were not treated as valid because the industry/entity match is not verified.,medium,deep_dive_reviewed,High valuation decline but no clean public signal identified yet. Core markdown-case coding: no clear public signal.,v2_second_pass,unresolved,high,"Keep as no-clear-signal markdown case; useful for opacity narrative, not for public-signal-explains-markdown narrative."
2,Ares Capital Corporation,ARCC,sig parent holdings,"SIG Parent Holdings, LLC",Independent insurance brokerage,first lien,1.0,1.0,0.0,0,"SIG Parent Holdings, LLC",unknown,"""SIG Parent Holdings"" insurance brokerage downgrade bankruptcy restructuring",completed,no,0,no clear signal,,none,no,,,n/a,No clear public deterioration signal found.,No coded signal.,Private insurance brokerage legal-entity name may not match operating brand.,medium,first_pass_reviewed,Normal valuation comparator.,v1_not_revisited,not revisited in v2,normal,Carried forward from v1; not part of second-pass focus set.
3,Ares Capital Corporation,ARCC,anaplan,"Anaplan, Inc.",Provider of cloud-based connected planning platforms,first lien,1.0,0.9827586206896552,-0.01724137931034475,0,"Anaplan, Inc.",Thoma Bravo,Anaplan layoffs Thoma Bravo buyout debt downgrade restructuring,completed,yes,2,borrower negative news,2023-06-23,pre_q4,yes,Anaplan layoffs after Thoma Bravo buyout; also deal repricing amid tech-market correction,https://en.wikipedia.org/wiki/Anaplan ; https://www.axios.com/2022/06/22/thoma-bravos-big-tech-repricing-anaplan,medium-low,Public reports indicate Anaplan had a major layoff round in 2023 after the Thoma Bravo buyout; the acquisition was also repriced in 2022 amid tech valuation pressure.,"Borrower-specific workforce reduction is a soft operating deterioration signal, but it is not a hard credit event.","Signal is stale relative to 2025Q4-2026Q1 window; use only as background context. Source mix includes Wikipedia; treat this signal as background, not core evidence.",medium,first_pass_reviewed,Valuation decline is small; signal does not explain Q1 movement strongly.,v1_not_revisited,not revisited in v2,normal,Carried forward from v1; not part of second-pass focus set.
4,Ares Capital Corporation,ARCC,athenahealth group minerva holdco bcpe co-invest,"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest (A), LP",Revenue cycle management provider to physician practices and acute care hospitals,first lien only,1.0,1.0,0.0,0,"athenahealth, Inc.; AthenaHealth Group Inc.; Minerva Holdco; BCPE Co-Invest",Bain Capital / Hellman & Friedman,athenahealth downgrade debt layoffs Change Healthcare cyberattack revenue cycle disruption,completed,yes,2,operating issue,2024-02-29,pre_q4,yes,Change Healthcare cyberattack reported to affect healthcare claims ecosystem including Athenahealth,https://en.wikipedia.org/wiki/Change_Healthcare,low,The 2024 Change Healthcare cyberattack disrupted insurance claims/payment workflows across the healthcare ecosystem; Athenahealth is listed among affected companies.,"This is borrower-linked operating disruption context for a revenue-cycle/EHR company, but not a direct credit-distress signal.","Not a borrower default, downgrade, or restructuring; signal is pre-Q4 and may be stale. Source is low-strength and used only as background/context, not as core evidence.",low,first_pass_reviewed,Very small valuation exposure; ratio interpretation is limited by rounding.,v1_not_revisited,not revisited in v2,normal,Carried forward from v1; not part of second-pass focus set.
5,Ares Capital Corporation,ARCC,auctane,"Auctane, Inc.",Provider of mailing and shipping solutions,first lien,1.0,1.0,0.0,0,"Auctane, Inc.; Stamps.com-related shipping software platform",Thoma Bravo,Auctane layoffs downgrade debt restructuring Stamps.com shipping software,completed,no,0,no clear signal,,none,no,,,n/a,No clear public deterioration signal found in first-pass search.,No coded signal.,Borrower may have limited public reporting as private software company.,medium,first_pass_reviewed,Normal valuation comparator.,v1_not_revisited,not revisited in v2,normal,Carried forward from v1; not part of second-pass focus set.
6,Blackstone Secured Lending Fund,BXSL,mode purchaser,"Mode Purchaser, Inc.",Air Freight & Logistics,first lien borrower aggregate (two loan rows),0.9126792570009034,0.8970765595796452,-0.015602697421258194,0,"Mode Purchaser, Inc.; possible logistics/freight operating company not fully mapped",unknown,Mode Purchaser Mode logistics freight recession bankruptcy debt restructuring,completed,yes,1,industry deterioration,2023-10-19,pre_q4,yes,Convoy ceased operations citing freight recession and capital-market contraction,https://en.wikipedia.org/wiki/Convoy_(company),low,"Freight/logistics markets showed stress in the post-2022 freight recession, illustrated by Convoy shutting down in 2023.",Industry-level freight stress is relevant to an air freight/logistics borrower but not borrower-specific.,"Weak industry/comparable signal; no borrower-specific signal found. Source is low-strength and used only as background/context, not as core evidence.",medium,first_pass_reviewed,Use as weak context only.,v1_not_revisited,not revisited in v2,normal,Carried forward from v1; not part of second-pass focus set.
7,Blackstone Secured Lending Fund,BXSL,windows acquisition holdings,"Windows Acquisition Holdings, Inc.",Building Products,first lien single row,0.8250518188906003,0.7818230186026185,-0.04322880028798182,0,"Windows Acquisition Holdings, Inc.",unknown,"""Windows Acquisition Holdings""; window/building products demand; housing starts 2025; tariffs; high mortgage rates; builder demand",completed,yes,1,industry deterioration,2025-04-17,pre_q4,yes,Builders hit the brakes on home construction as tariffs and weak demand weigh on sales; Home builders hoped for a boom in 2025. They did not get one.,https://www.marketwatch.com/story/builders-hit-the-brakes-on-home-construction-as-tariffs-and-weak-demand-weigh-on-sales-66252df6 ; https://www.washingtonpost.com/business/2025/12/31/housing-builders-tariffs-immigration-interest-rates/,medium,"Public housing/building-products context was negative in 2025: new home construction fell sharply in March, builders faced high rates, tariffs/material costs, and weak buyer demand.",Windows/building-products borrowers depend on housing/remodeling activity; weak starts and cost pressure are a plausible public industry-level credit signal.,Industry-level only. No borrower-specific negative event for Windows Acquisition Holdings was verified.,medium,deep_dive_reviewed,Level markdown already present in Q4 and Q1.,v2_second_pass,borrower legal name only,medium,Keep signal_strength = 1; useful as industry context but not direct borrower distress.
8,Blackstone Secured Lending Fund,BXSL,aci group holdings,"ACI Group Holdings, Inc.",Health Care Providers & Services,first lien borrower aggregate (two loan rows),0.8061580940029703,0.7074749360774178,-0.09868315792555249,1,"ACI Group Holdings, Inc.; operating name not verified",unknown,"""ACI Group Holdings"" healthcare; ACI Group Holdings bankruptcy/restructuring/default/downgrade; healthcare providers private equity debt stress; Prospect/Steward/Envision comparables",completed,yes,1,industry/comparable distress,2025-02-14,pre_q4,yes,Private Equity’s Grand Ambitions for U.S. Healthcare Hit Bumpy Stretch,https://www.wsj.com/articles/private-equitys-grand-ambitions-for-u-s-healthcare-hit-bumpy-stretch-09c39e04,high,"Borrower-specific ACI operating identity was not verified, but public healthcare-provider/private-equity comparable distress was visible: WSJ reported defaults and bankruptcies across PE-backed healthcare providers after rising labor costs, rates, and policy/reimbursement pressure.",ACI is classified as Health Care Providers & Services in the BDC schedule; comparable-sector distress is a weak public signal relevant to credit risk.,"Industry/comparable only. Do not claim ACI itself defaulted, restructured, or filed bankruptcy based on public search.",medium,deep_dive_reviewed,Strong QoQ markdown in valuation data but public signal is currently only industry-level. Core markdown-case coding: weak public context only; no borrower-specific hard signal.,v2_second_pass,unresolved operating name,high,Keep as QoQ markdown with only weak industry/comparable public signal.
9,Blackstone Secured Lending Fund,BXSL,cambium learning group,"Cambium Learning Group, Inc.",Diversified Consumer Services,first lien single row,0.9760556492650498,0.9731992228982201,-0.0028564263668297007,0,"Cambium Learning Group, Inc.",Veritas Capital,Cambium Learning Group layoffs downgrade debt restructuring edtech demand,completed,no,0,no clear signal,,none,no,,,n/a,No clear borrower-specific deterioration signal found.,No coded signal.,Private company; public information may be incomplete.,medium,first_pass_reviewed,No QoQ markdown event.,v1_not_revisited,not revisited in v2,normal,Carried forward from v1; not part of second-pass focus set.
10,Blackstone Secured Lending Fund,BXSL,snoopy bidco,"Snoopy Bidco, Inc.",Health Care Providers & Services,first lien single row with PIK component,0.963804307727234,0.9454775331185105,-0.01832677460872356,0,"Snoopy Bidco, Inc.; healthcare provider operating name not verified",unknown,Snoopy Bidco healthcare provider debt downgrade bankruptcy restructuring,completed,yes,1,industry deterioration,2024-11-11,pre_q4,yes,Healthcare-provider sector distress examples: Wellpath Chapter 11 / PE-backed healthcare stress,https://en.wikipedia.org/wiki/Wellpath,low,Healthcare-provider sector stress is visible in PE-backed provider bankruptcies and high labor/legal/debt pressures.,Relevant sector-level credit context for a healthcare provider borrower.,"Weak sector signal only; no Snoopy-specific signal found. Source is low-strength and used only as background/context, not as core evidence.",low,first_pass_reviewed,Level markdown but no QoQ event.,v1_not_revisited,not revisited in v2,normal,Carried forward from v1; not part of second-pass focus set.
