ticker,bdc,borrower_clean_name,portfolio_company,investment_scope,q4_source_file,q4_source_page,q4_source_detail,q1_source_file,q1_source_page,q1_source_detail,aggregation_note
ARCC,Ares Capital Corporation,bamboo purchaser,"Bamboo Purchaser, Inc.",first lien borrower aggregate,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; Bamboo first-lien rows aggregated: principal 4.1 + 15.4 = 19.5; cost 4.1 + 3.3 = 7.4; fair value 4.1 + 2.9 = 7.0.",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Mar. 31, 2026 Schedule of Investments; Bamboo first-lien row: principal 21.2; cost 8.2; fair value 3.9.",Clear ARCC Q1 markdown case; Q4 first-lien rows are aggregated to match Q1 borrower-level first-lien row.
ARCC,Ares Capital Corporation,sig parent holdings,"SIG Parent Holdings, LLC",first lien,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; SIG Parent Holdings first-lien row: principal 19.1; cost 19.1; fair value 19.1.",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Mar. 31, 2026 Schedule of Investments; SIG Parent Holdings first-lien row: principal 19.0; cost 19.0; fair value 19.0.",Clean normal comparator.
ARCC,Ares Capital Corporation,anaplan,"Anaplan, Inc.",first lien,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; Anaplan first-lien row: principal 5.8; cost 5.8; fair value 5.8.",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Mar. 31, 2026 Schedule of Investments; Anaplan first-lien row: principal 5.8; cost 5.8; fair value 5.7.",Clean first-lien replacement row.
ARCC,Ares Capital Corporation,athenahealth group minerva holdco bcpe co-invest,"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest (A), LP",first lien only,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; AthenaHealth/Minerva/BCPE first-lien row only: principal 0.1; cost 0.1; fair value 0.1; preferred/equity rows excluded.",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Mar. 31, 2026 Schedule of Investments; AthenaHealth/Minerva/BCPE first-lien row only: principal 0.1; cost 0.1; fair value 0.1; preferred/equity rows excluded.",Small row; rounded one-decimal amounts make ratio interpretation cautious.
ARCC,Ares Capital Corporation,auctane,"Auctane, Inc.",first lien,ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Dec. 31, 2025 comparative Schedule of Investments in ARCC 2026 Q1 filing","Dec. 31, 2025 comparative Schedule of Investments; Auctane first-lien row: principal 143.4; cost 143.4; fair value 143.4.",ARCC 2026 Q1 Form 10-Q; accession 0001628280-26-027688; primary document arcc-20260331.htm,"Mar. 31, 2026 Schedule of Investments in ARCC 2026 Q1 filing","Mar. 31, 2026 Schedule of Investments; Auctane first-lien row: principal 143.4; cost 143.4; fair value 143.4.",Clean first-lien replacement row.
BXSL,Blackstone Secured Lending Fund,mode purchaser,"Mode Purchaser, Inc.",first lien borrower aggregate (two loan rows),BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 54; Dec. 31, 2025 schedule; two Mode Purchaser rows",Q4 cost/fair value: 137.787 + 3.909 / 125.734 + 3.589,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 11; Mar. 31, 2026 schedule; two Mode Purchaser rows",Q1 cost/fair value: 137.873 + 3.912 / 123.662 + 3.530,Aggregated two same-borrower first-lien rows to keep borrower-level observation clean.
BXSL,Blackstone Secured Lending Fund,windows acquisition holdings,"Windows Acquisition Holdings, Inc.",first lien single row,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 55; Dec. 31, 2025 schedule",,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 12; Mar. 31, 2026 schedule",,Clear below-par first-lien row with modest additional QoQ decline.
BXSL,Blackstone Secured Lending Fund,aci group holdings,"ACI Group Holdings, Inc.",first lien borrower aggregate (two loan rows),BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 60; Dec. 31, 2025 schedule; two ACI rows",Q4 cost/fair value: 132.031 + 11.390 / 106.482 + 9.138,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 18; Mar. 31, 2026 schedule; two ACI rows",Q1 cost/fair value: 132.134 + 11.399 / 93.594 + 7.952,Aggregated two same-borrower first-lien rows; this is a clear QoQ markdown case.
BXSL,Blackstone Secured Lending Fund,cambium learning group,"Cambium Learning Group, Inc.",first lien single row,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 58; Dec. 31, 2025 schedule",,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 15; Mar. 31, 2026 schedule",,Large single first-lien row; useful normal/slightly-below-par comparator.
BXSL,Blackstone Secured Lending Fund,snoopy bidco,"Snoopy Bidco, Inc.",first lien single row with PIK component,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 61; Dec. 31, 2025 schedule",,BXSL 2026 Q1 Form 10-Q; accession 0001736035-26-000010; uploaded PDF f0cb87a2-e0bd-4243-85e1-5816094738a1.pdf,"PDF page 19; Mar. 31, 2026 schedule",,Large PIK first-lien row; useful for later public-signal comparison.
